"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","936.50","931.00","938.62","930.38","-","0.51%"
"Oct 31, 2019","931.75","930.62","935.38","925.12","-","0.08%"
"Oct 30, 2019","931.00","933.12","936.88","930.38","-","-0.16%"
"Oct 29, 2019","932.50","935.62","940.12","931.12","-","-0.43%"
"Oct 28, 2019","936.50","935.50","940.12","934.38","-","1.53%"
"Oct 25, 2019","922.38","933.62","937.38","919.62","-","-1.24%"
"Oct 24, 2019","934.00","933.75","938.88","932.88","-","-0.08%"
"Oct 23, 2019","934.75","933.88","938.62","927.88","-","0.08%"
"Oct 22, 2019","934.00","932.88","945.12","931.12","-","0.05%"
"Oct 21, 2019","933.50","931.62","939.88","930.38","-","0.05%"
"Oct 20, 2019","933.00","933.00","933.00","933.00","-","-0.09%"
"Oct 18, 2019","933.88","930.88","938.62","930.75","-","0.31%"
"Oct 17, 2019","931.00","927.88","940.62","927.38","-","0.27%"
"Oct 16, 2019","928.50","932.75","938.38","927.62","-","-0.51%"
"Oct 15, 2019","933.25","938.00","944.12","933.25","-","-0.69%"
"Oct 14, 2019","939.75","941.62","945.38","930.62","-","0.57%"
"Oct 11, 2019","934.38","924.12","939.12","923.62","-","1.29%"
"Oct 10, 2019","922.50","919.38","933.62","918.88","-","0.03%"
"Oct 09, 2019","922.25","918.88","931.38","918.50","-","0.33%"
"Oct 08, 2019","919.25","915.62","923.62","910.50","-","0.38%"
"Oct 07, 2019","915.75","917.12","919.62","911.62","-","0.00%"
"Oct 04, 2019","915.75","911.38","921.12","909.62","-","0.44%"
"Oct 03, 2019","911.75","912.75","918.62","908.12","-","-0.14%"